character,romaji,meaning
位,kurai,"grade, rank, about"
暮らし,kurashi,living; life style
クラシック,kurashikku,classic(s)
暮らす,kurasu,"to live, to get along"
グラス,gurasu,glass; grass
グランド,gurando,"gland, grand, (electrical) ground"
クリーム,kuriimu,cream
繰り返す,kurikaesu,"to repeat, to do something over again"
クリスマス,kurisumasu,Christmas
狂う,kuruu,"to go mad, to get out of order"
グループ,guruupu,group
苦しい,kurushii,tough; physically strenuous
苦しむ,kurushimu,"to suffer, to groan, to be worried"
暮れ,kure,"year end,"
苦労,kurou,hardship; suffering
加える,kuwaeru,"to append, to sum up, to add (up)"
咥える,kuwaeru,to hold something in the mouth
詳しい,kuwashii,detailed; full; accurate
加わる,kuwawaru,"to join in, to accede to"
訓,kun,native Japanese reading of a Chinese character
軍,gun,"army, force, troops"
郡,gun,"country, district"
軍隊,guntai,"army, troops"
訓練,kunren,"practice, training"
下,ge,"under, below, beneath"
計,kei,"plan; sum, total"
敬意,keii,"respect, honor"
経営,keiei,"management, administration"
景気,keiki,"condition, state, business (condition)"
傾向,keikou,"tendency, trend, inclination"
警告,keikoku,warning
計算,keisan,"calculation, reckoning"
掲示,keiji,"notice, bulletin"
刑事,keiji,"criminal case, (police) detective"
芸術,geijutsu,"(fine) art, the arts"
契約,keiyaku,"contract, compact, agreement"
経由,keiyu,"go by the way, via"
ケース,keesu,case
ゲーム,geemu,game
劇,geki,"drama, play"
劇場,gekijou,"theater, playhouse"
化粧,keshou,make-up (cosmetic)
けち,kechi,"stinginess, miser"
血液,ketsueki,blood
結果,kekka,"result, consequence"
欠陥,kekkan,"defect, fault, deficiency"
結局,kekkyoku,"after all, eventually"
決心,kesshin,"determination, resolution"
欠席,kesseki,"absence, non-attendance"
決定,kettei,"decision, determination"
欠点,ketten,"faults, defect, weakness"
結論,ketsuron,conclusion
煙,kemuri,"smoke, fumes"
蹴る,keru,to kick
券,ken,"ticket, certificate"
県,ken,prefecture
見解,kenkai,"opinion, point of view"
限界,genkai,"limit, bound"
現金,genkin,cash
言語,gengo,language
健康,kenkou,health(y)
検査,kensa,"inspection, examination"
現在,genzai,"now (same as 今 (いま)), present, current"
現実,genjitsu,reality
現象,genshou,phenomenon
現状,genjou,"present condition, status quo"
建設,kensetsu,"construction, foundation"
現代,gendai,"today, present-day"
建築,kenchiku,"construction, architecture"
見当,kentou,"estimate, guess"
検討,kentou,"consideration, examination, investigation"
現場,gemba,"actual spot, scene, field"
憲法,kempou,constitution
権利,kenri,"right, privilege"
後,go,"afterwards, since then"
碁,go,Go (board game of capturing territory)
恋,koi,"love, tender passion"
濃い,koi,"thick (as of color, liquid), dense, strong"
恋人,koibito,lover; sweetheart; girlfriend
幸運,kouun,"good luck, fortune"
講演,kouen,"lecture, talk"
効果,kouka,"effect, result"
硬貨,kouka,coin
高価,kouka,high price
豪華,gouka,"luxurious, gorgeous, extravagance"
合格,goukaku,"success, passing (e.g., exam)"
交換,koukan,"exchange, swap"
航空,koukuu,"aviation, flying"
光景,koukei,"scene, spectacle"
合計,goukei,"sum total, total amount"
攻撃,kougeki,"attack, strike, offensive"
貢献,kouken,"contribution, services"
広告,koukoku,advertisement
交際,kousai,"friendship, association, acquaintance"
校舎,kousha,school building
後者,kousha,the latter
工場,kouba,"factory, plant"
公正,kousei,"justice, fairness, impartiality"
構成,kousei,"organization, composition"
高速,kousoku,"high speed, high gear"
行動,koudou,"action, conduct, behavior"
強盗,goutou,"robbery, burglary"
後輩,kouhai,junior members of a group
幸福,koufuku,"happiness, blessedness"
公平,kouhei,"fairness, impartial, justice"
候補,kouho,candidacy
考慮,kouryo,"consideration, taking into account"
越える,koeru,"to exceed, to cross over, to cross"
超える,koeru,"to exceed, to cross over, to cross"
コーチ,koochi,coach
コード,koodo,code; cord; chord
氷,koori,"ice, hail"
凍る,kooru,"to freeze, to be frozen over, to congeal"
ゴール,gooru,goal
誤解,gokai,misunderstanding
語学,gogaku,language study
呼吸,kokyuu,"breath, respiration"
故郷,kokyou,hometown
極,goku,"quite, very"
国語,kokugo,national language
国籍,kokuseki,nationality
黒板,kokuban,blackboard
克服,kokufuku,"conquest, overcome"
国民,kokumin,"national, people, citizen"
穀物,kokumotsu,"grain, cereal, corn"
腰,koshi,"hip, waist"
胡椒,koshou,pepper
個人,kojin,"individual, private person"
越す,kosu,"to go over (e.g., with audience)"
超す,kosu,"to cross, to pass, to tide over"
国家,kokka,"state, country, nation"
国会,kokkai,"National Diet, parliament, congress"
国境,kokkyou,national or state border
骨折,kossetsu,bone fracture
小包,kozutsumi,"parcel, package"
琴,koto,Japanese harp
異なる,kotonaru,"to differ, to vary"
諺,kotowaza,"proverb, saying"
断る,kotowaru,"to refuse, to decline, to dismiss"
粉,kona,"flour, powder"
好み,konomi,"liking, taste, choice"
好む,konomu,"to like, to prefer"
こぼす,kobosu,to spill
こぼれる,koboreru,"to overflow, to spill"
塵,gomi,"garbage, litter"
小麦,komugi,wheat
ごめんなさい,gomennasai,"I beg your pardon, excuse me, I'm sorry"
小屋,koya,"hut, cabin, shed"
これら,korera,these
殺す,korosu,to kill
転ぶ,korobu,"to fall down, to fall over"
今回,konkai,"now, this time, lately"
今後,kongo,"from now on, hereafter"
混雑,konzatsu,"confusion, congestion"
こんなに,konnani,"so, like this, in this way"
困難,konnan,"difficulty, distress"
今日,konnichi,"today, this day"
こんにちは,konnichiha,"hello, good day (daytime greeting)"
婚約,konyaku,"engagement, betrothal"
混乱,konran,"chaos, confusion, mayhem"
差,sa,"difference, variation"
サービス,saabisu,"service, support system; goods or services without charge"
際,sai,"on the occasion of, circumstances"
最高,saikou,"highest, supreme, the most"
財産,zaisan,"property, fortune, assets"
最終,saishuu,"last, closing"
最中,saichuu,in the middle of
最低,saitei,"least, lowest, worst"
才能,sainou,"talent, ability"
裁判,saiban,"trial, judgment"
材料,zairyou,"ingredients, material"
幸い,saiwai,fortunately; luckily
サイン,sain,autograph; sign; sine
境,sakai,"border, boundary, mental state"
逆らう,sakarau,"to go against, to oppose, to disobey"
盛り,sakari,"helping, serving"
作業,sagyou,"work, operation, manufacturing"
裂く,saku,"to tear, to split"
昨,saku,"last (year), yesterday"
作品,sakuhin,"work, opus, production"
作物,sakumotsu,"produce (e.g., agricultural), crops"
桜,sakura,"cherry blossom, cherry tree"
酒,sake,"alcohol, sake"
叫ぶ,sakebu,"to shout, to cry"
避ける,sakeru,"to avoid (physical contact); to ward off, to avert"
支える,sasaeru,"support, hold, sustain"
刺さる,sasaru,"to stick, to be stuck"
刺す,sasu,"to sting, to bite (e.g., bug), to prick, to stab"
指す,sasu,"to point,"
挿す,sasu,"to insert, to put in, to graft"
注す,sasu,"to pour (drink), to serve (drinks)"
射す,sasu,"to shine, to strike"
座席,zaseki,seat
誘う,sasou,"to invite (someone to do something with you); to tempt, to lure"
札,satsu,"bill, note"
作家,sakka,"author, writer, novelist"
作曲,sakkyoku,composition (of music)
ざっと,zatto,"roughly, in round numbers"
さっぱり,sappari,"feeling refreshed, neat"
さて,sate,"well; now (typically used when switching to a new, usually more important topic)"
砂漠,sabaku,desert
差別,sabetsu,"discrimination, differentiation"
ママ,mama,Mama
豆,mame,"beans, peas"
守る,mamoru,to protect; to abide (by the rules)
迷う,mayou,"to be puzzled, to be perplexed, to lose one's way"
丸,maru,"circle, full (month)"
円,maru,circle
まるで,marude,just like
万一,manichi,"by some chance, if by any chance"
満足,manzoku,satisfaction
身,mi,"body, main part"
実,mi,"fruit, seed, good result"
見送り,miokuri,seeing one off
味方,mikata,"ally, supporter"
見事,migoto,"splendid, magnificent"
ミス,misu,"miss (mistake, error, failure), Miss"
満ちる,michiru,"to be full, to mature"
密,mitsu,"thick, close"
認める,mitomeru,"to recognize, to notice; to approve"
見舞い,mimai,"expression of sympathy, expression of concern"
土産,miyage,souvenir
都,miyako,city; capital
妙,myou,"strange, unusual"
明後日,myougonichi,day after tomorrow
未来,mirai,future (life tense)
魅力,miryoku,"charm, fascination, appeal"
診る,miru,to examine (a patient)
ミルク,miruku,milk
無,mu,"nothing, naught, zero"
向かい,mukai,"facing, opposite, across"
迎え,mukae,"meeting, person sent to pick up an arrival"
向く,muku,to face
剥く,muku,"to peel, to skin"
向ける,mukeru,"to turn towards, to point"
無視,mushi,"disregard, ignore"
蒸し暑い,mushiatsui,"humid, sultry"
虫歯,mushiba,"cavity, tooth decay"
寧ろ,mushiro,"rather, better, instead"
蒸す,musu,"to steam, to poultice, to be sultry"
結ぶ,musubu,"to tie, to bind, to link"
無駄,muda,"futility, uselessness"
夢中,muchuu,"crush, crazy, be hooked on"
胸,mune,"breast, chest"
無料,muryou,"free, no charge"
芽,me,sprout
明確,meikaku,"clear, definite"
名刺,meishi,(name) card; business card
名詞,meishi,noun
命じる,meijiru,"to order, to command, to appoint"
名人,meijin,"master, expert"
命令,meirei,"order, command, decree"
迷惑,meiwaku,"trouble, bother, annoyance"
目上,meue,person of higher status; one's senior
飯,meshi,"meals, food"
滅多に,mettani,"rarely (with neg. verb), seldom"
メモ,memo,"memorandum, note"
面,men,"face, mug, surface, side or facet, corner, page"
綿,men,cotton
免許,menkyo,"license, permit, certificate"
面接,mensetsu,interview
面倒,mendou,"trouble, attention"
メンバー,membaa,member
申し込む,moushikomu,"to apply for, to make an application"
申し訳,moushiwake,"apology, excuse"
毛布,moufu,blanket
燃える,moeru,to burn
目的,mokuteki,"purpose, goal, aim"
目標,mokuhyou,"mark, objective, target"
文字,moji,"letter (of alphabet), character"
文字,monji,"letter (of alphabet), character"
もしかすると,moshikasuruto,"perhaps, maybe, by some chance"
もしも,moshimo,if
持ち上げる,mochiageru,"to raise, to lift up, to flatter"
用いる,mochiiru,"to use, to make use of"
もったいない,mottainai,"wasteful; more than one deserves, unworthy of"
尤も,mottomo,"quite right, plausible, natural"
元,moto,"origin, original; former"
基,moto,basis
素,moto,prime
戻す,modosu,"to restore, to put back, to return"
基づく,motozuku,"to be grounded on, to be based on"
求める,motomeru,"to request, to ask for; to seek, to search for"
者,mono,person (same as 人 (ひと))
物音,monooto,sounds
物語,monogatari,"tale, story, legend"
物事,monogoto,"things, everything"
燃やす,moyasu,to burn
模様,moyou,"pattern, figure, design"
文句,monku,a complaint
やがて,yagate,"before long, soon, at length"
役,yaku,"role, position"
約,yaku,"approximately, about, some"
訳,yaku,translation
訳す,yakusu,to translate
役割,yakuwari,"assigning (allotment of) parts, role, duties"
家賃,yachin,rent
厄介,yakkai,"trouble, burden, care"
宿,yado,"inn, lodging"
雇う,yatou,"to employ, to hire"
屋根,yane,roof
破る,yaburu,to tear; to violate; to defeat
破れる,yabureru,"to get torn, to wear out"
辞める,yameru,to retire
やや,yaya,"a little, partially, somewhat"
唯一,yuiitsu,"only, sole, unique"
勇気,yuuki,"courage, bravery, boldness"
友好,yuukou,friendship
有効,yuukou,"valid, effectual"
優秀,yuushuu,"superiority, excellence"
優勝,yuushou,"overall victory, championship"
友情,yuujou,"friendship, fellowship"
友人,yuujin,friend (formal)
有能,yuunou,"able, capable, efficient"
郵便,yuubin,"mail, postal service"
ユーモア,yuumoa,humor
有利,yuuri,"advantageous, better"
床,yuka,floor
愉快,yukai,"pleasant, happy"
譲る,yuzuru,"to turn over, to assign, to hand over"
豊か,yutaka,"abundant, wealthy, plentiful, rich"
茹でる,yuderu,to boil
許す,yurusu,"to permit, to allow, to approve"
夜,yo,"evening, night"
夜明け,yoake,"dawn, daybreak"
酔う,you,to get drunk
容易,youi,"easy, simple, plain"
容器,youki,"container, vessel"
陽気,youki,"season, weather, cheerfulness"
要求,youkyuu,"request, demand"
用心,youjin,"care, precaution, caution"
様子,yousu,"aspect, state, appearance"
要するに,yousuruni,"in a word, after all, in short ..."
要素,youso,element
要点,youten,"gist, main point"
曜日,youbi,day of the week
ヨーロッパ,yooroppa,Europe
予期,yoki,"expectation, forecast"
横切る,yokogiru,"to cross (e.g., arms), to traverse"
汚す,yogosu,"to pollute, to make dirty"
予算,yosan,"estimate, budget"
止す,yosu,"to cease, to give up"
寄せる,yoseru,"to collect, to gather, to put aside"
予測,yosoku,"prediction, estimation"
ヨット,yotto,yacht
夜中,yonaka,"midnight, dead of night"
世の中,yononaka,"society, the world"
余分,yobun,"extra, excess, surplus"
予報,yohou,"forecast, prediction"
予防,yobou,"prevention, protection against"
読み,yomi,reading
嫁,yome,"bride, daughter-in-law"
余裕,yoyuu,excess; surplus
より,yori,"twist, ply"
因る,yoru,to come from
喜び,yorokobi,"joy, pleasure, rejoicing"
よろしく (かん),yoroshiku (kan),"best regards, please remember me"
四,yon,four
来,rai~,next ~
ライター,raitaa,lighter; writer
楽,raku,"comfort, ease"
ラケット,raketto,racket
利益,rieki,"profits, gains"
理解,rikai,"understanding, comprehension"
陸,riku,"land, shore"
利口,rikou,"clever, shrewd, bright"
離婚,rikon,divorce
理想,risou,ideal
率,ritsu,"rate, ratio, percentage"
留学,ryuugaku,studying abroad
流行,ryuukou,"fashionable, fad, prevailing"
量,ryou,"quantity, amount"
寮,ryou,"hostel, dormitory"
両替,ryougae,"change, money exchange"
料金,ryoukin,"fee, charge, fare"
例,rei,"instance, example, case"
礼,rei,expression of gratitude; bow
例外,reigai,exception
礼儀,reigi,"manners, courtesy, etiquette"
冷静,reisei,"calm, coolness"
列,retsu,"queue, line, row"
列車,ressha,train (ordinary)
レベル,reberu,level
連想,rensou,"association (of ideas), suggestion"
連続,renzoku,"consecutive, continuity, continuing"
老人,roujin,"the aged, old person"
労働,roudou,"labor, work"
ロケット,roketto,"locket, rocket"
論じる,ronjiru,"to argue, to discuss"
論争,ronsou,"controversy, dispute"
論文,rombun,"thesis, paper"
輪,wa,"ring, hoop, circle"
ワイン,wain,wine
わがまま,wagamama,"selfishness, egoism, willfulness"
別れ,wakare,"parting, separation, farewell"
分かれる,wakareru,"to branch off, to diverge from"
脇,waki,side
湧く,waku,"to boil, to grow hot"
分ける,wakeru,"to divide, to separate"
わざと,wazato,on purpose
僅か,wazuka,"only, merely, a little"
綿,wata,cotton
話題,wadai,"topic, subject"
笑い,warai,"laugh, laughter, smile"
割る,waru,"to divide, to break"
悪口,warukuchi,"abuse, insult"
我々,wareware,we
湾,wan,"bay, gulf, inlet"
椀,wan,bowl
碗,wan,bowl
悪,aku,"evil, vice"
当り,atari,"hit, success, reaching the mark"
アップ,appu,up
宛てる,ateru,"to address, to put"
アンケート,ankeeto,"questionnaire (FRE: enquete), survey"
異,i,difference (of opinion)
意,i,will
医院,iin,"doctor's office (surgery), clinic"
怒り,ikari,anger
粋,iki,"chic, style, purity"
意地,iji,"disposition, spirit, obstinacy, appetite"
依然,izen,"still, as yet"
傷める,itameru,"to damage, to impair, to spoil"
炒める,itameru,to stir-fry
一帯,ittai,"a region, the whole place"
異動,idou,"a change, transfer"
衣料,iryou,clothing
渦,uzu,swirl
埋まる,umaru,"to be buried, to be filled"
産む,umu,"to give birth (v.t.), to deliver, to produce"
縁,en,"chance, tie, relationship"
尾,o,"tail, ridge"
負う,ou,"to bear, to owe"
遅れ,okure,"delay, lag"
教え,oshie,"teachings, doctrine"
驚き,odoroki,"surprise, astonishment, wonder"
織る,oru,to weave
欠く,kaku,"to lack, to crack"
角,kaku,angle
核,kaku,"nucleus, kernel"
格,kaku,"status, character, case"
学歴,gakureki,academic background
駆ける,kakeru,to run
賭ける,kakeru,"to bet, to risk, to gamble"
課題,kadai,"subject, theme, task"
片付け,katazuke,"tidying up, finishing"
加味,kami,"seasoning, flavoring"
借り,kari,"borrowing, debt, loan"
狩り,kari,hunting
管,kan,"pipe, tube"
~観,kan,"feeling, view"
癌,gan,cancer
刊行,kankou,"publication, issue"
慣行,kankou,"customary practice, habit, traditional event"
歓声,kansei,"cheer, shout of joy"
官僚,kanryou,"bureaucrat, bureaucracy"
器官,kikan,"organ (of body, instrument)"
季刊,kikan,"quarterly (e.g., magazine)"
起源,kigen,"origin, beginning, rise"
機構,kikou,"mechanism, organization"
築く,kizuku,"to build, to establish"
規制,kisei,regulation
丘陵,kyuuryou,hill
協議,kyougi,"conference, discussion, negotiation"
享受,kyouju,"enjoyment, being given"
協調,kyouchou,"co-operation, conciliation, harmony"
切り,kiri,"limits, place to leave off"
菌,kin,"germ, bacterium"
近視,kinshi,nearsightedness
苦,ku,"trouble, worry, difficulty"
群,gun,group
刑,kei,"penalty, sentence, punishment"
経緯,keii,"sequence of events, course"
計器,keiki,"meter, gauge"
契機,keiki,"opportunity, chance"
携帯,keitai,carrying something; mobile telephone
形態,keitai,"form, shape, figure"
血管,kekkan,blood vessel
決行,kekkou,"doing (with resolve), carrying out (e.g., a plan)"
件,ken,"matter, case, item"
減少,genshou,"decrease, reduction, decline"
公演,kouen,public performance
後悔,koukai,"regret, repentance"
航海,koukai,"sail, voyage"
拘束,kousoku,"restriction, restraint"
荒廃,kouhai,ruin
降伏,koufuku,"capitulation, surrender, submission"
興奮,koufun,"excitement, stimulation"
語句,goku,"words, phrases"
個々,koko,"individual, one by one"
故人,kojin,the deceased
小銭,kozeni,"coins, small change"
ことによると,kotoniyoruto,(depending on the circumstances)
コンテスト,kontesuto,contest
採集,saishuu,"collecting, gathering"
作,saku,"a work, a harvest"
策,saku,"plan, policy"
設備,setsubi,"equipment, device, facilities"
絶滅,zetsumetsu,"destruction, extinction"
節約,setsuyaku,"economizing, saving"
攻める,semeru,"to attack, to assault"
責める,semeru,"to condemn, to blame, to criticize"
善,zen,"good, virtue"
全,zen,"all, whole, entire"
全員,zenin,all members
専攻,senkou,"major subject, special study"
全国,zenkoku,"the entire nation, country-wide, nation-wide"
洗剤,senzai,detergent
先日,senjitsu,"the other day, a few days ago"
前者,zensha,the former
選手,senshu,player selected for a team (usually athletic)
全身,zenshin,"the whole body, full-length (portrait)"
前進,zenshin,"advance, drive, progress"
センター,sentaa,center
全体,zentai,"whole, entirety, whatever (is the matter)"
選択,sentaku,"selection, choice"
宣伝,senden,"advertisement, publicity"
象,zou,elephant
騒音,souon,noise
増加,zouka,"increase, addition"
操作,sousa,"operation, management, processing"
想像,souzou,"imagination, guess"
相続,souzoku,"succession, inheritance"
装置,souchi,"equipment, installation, apparatus"
相当,soutou,"considerably, fairly; worth ~"
速度,sokudo,"speed, velocity, rate"
底,soko,"bottom, sole"
そこで,sokode,"so (conj.), accordingly"
組織,soshiki,organization; structure; tissue
そして,soshite,and then
注ぐ,sosogu,to pour (into)
育つ,sodatsu,"to be brought up, to grow (up)"
そっくり,sokkuri,the splitting image of; entirely
そっと,sotto,"softly, gently"
袖,sode,sleeve
備える,sonaeru,"to prepare, to furnish, to store"
具える,sonaeru,to be furnished with
そのうえ,sonoue,"in addition, furthermore"
そのうち,sonouchi,"before long, eventually, sooner or later"
そのまま,sonomama,"without change, as it is (e.g., now)"
蕎麦,soba,soba (buckwheat noodles)
ソファー,sofuaa,"sofa, couch"
粗末,somatsu,"humble, miserable, crude"
それぞれ,sorezore,"each, every, respectively"
それでも,soredemo,"but (still), and yet, nevertheless"
それと,soreto,and
それとも,soretomo,"or, or else"
揃う,sorou,"to become complete, to be equal"
揃える,soroeru,"to put things in order, to arrange"
損,son,"loss, disadvantage"
損害,songai,"damage, loss"
尊敬,sonkei,"respect, reverence, honor"
存在,sonzai,"existence, being"
尊重,sonchou,"respect, esteem, regard"
田,ta,rice field
他,ta,other (esp. places and things)
対,tai,"pair, couple, set"
大,dai,"big, great"
題,dai,"title, subject, theme"
体育,taiiku,"physical education, gymnastics, athletics"
体温,taion,temperature (body)
大会,taikai,"convention, (big) tournament, mass meeting"
大気,taiki,atmosphere
代金,daikin,"price, cost"
退屈,taikutsu,"tedium, boring"
滞在,taizai,"stay, sojourn"
大使,taishi,ambassador
大した,taishita,"significant, great, considerable"
体重,taijuu,(body) weight
対象,taishou,"target; object (of worship, study, etc.); subject (i.e., of taxation)"
対照,taishou,"contrast, antithesis, comparison"
大臣,daijin,cabinet minister
対する,taisuru,"to face, to confront, to oppose"
大戦,taisen,"great war, great battle"
態度,taido,"attitude, manner"
大統領,daitouryou,president
大半,taihan,"most of, majority, mostly"
代表,daihyou,"representative, delegation"
大部分,daibubun,"most part, majority"
タイプライター,taipuraitaa,typewriter
逮捕,taiho,"arrest, apprehension, capture"
題名,daimei,title
ダイヤ,daiya,(railway) schedule; diamond
太陽,taiyou,sun
平ら,taira,"flatness, level, smooth"
代理,dairi,"representation, proxy, deputy"
大陸,tairiku,continent
倒す,taosu,"to throw down, to beat"
タオル,taoru,(hand) towel
だが,daga,"but, however"
互い,tagai,"mutual, each other"
高める,takameru,"to raise, to lift, to boost"
宝,takara,treasure
宅,taku,"house, home"
炊く,taku,"to boil, to cook"
焚く,taku,"to burn, to kindle, to build a fire"
抱く,daku,"to embrace, to hug"
だけど,dakedo,however
たしか,tashika,"certain, sure, if I remember correctly"
確かめる,tashikameru,"to ascertain, to make sure"
多少,tashou,a little (same as 少し (すこし))
助かる,tasukaru,to be saved; (something) helps (v.i.)
助ける,tasukeru,"to help (v.t.), to save, to rescue"
ただ,tada,free of charge; just (~); only (~)
只,tada,"free of charge, mere, only"
唯,tada,"mere, sole, plain"
戦い,tatakai,"battle, fight"
戦う,tatakau,"to fight, to compete, to battle"
叩く,tataku,"to strike, to beat"
直ちに,tadachini,"at once, immediately"
畳む,tatamu,to fold (clothes)
立ち上がる,tachiagaru,to stand up
立場,tachiba,"standpoint, position, situation"
建つ,tatsu,"to stand; to be built (v.i.), to erect, to be erected"
経つ,tatsu,(time) passes
達する,tassuru,"to reach, to get to"
唯,tatta,"only, just"
だって,datte,"but, because, even"
たっぷり,tappuri,"full, in plenty, ample"
たとえ,tatoe,"even if, no matter, though"
谷,tani,valley
他人,tanin,"unrelated person, stranger"
種,tane,seed; material; cause
束,taba,"bunch, bundle"
足袋,tabi,Japanese socks (with split toe)
度,tabi,counter for occurrences
旅,tabi,"travel, trip, journey"
たびたび,tabitabi,"often, repeatedly, frequently"
玉,tama,"ball, sphere, coin"
球,tama,"globe, sphere, ball"
弾,tama,"bullet, shot"
偶,tama,"even number, couple, friend"
騙す,damasu,"to trick, to cheat, to deceive"
偶々,tamatama,"unexpectedly, accidentally, by chance"
たまらない,tamaranai,"intolerable, unbearable, unendurable"
溜まる,tamaru,"to collect, to gather, to accumulate"
黙る,damaru,to be silent
試し,tameshi,"trial, test"
試す,tamesu,"to attempt, to test"
溜める,tameru,"to accumulate, to collect"
便り,tayori,"news, correspondence, letter"
頼る,tayoru,"to rely on, to have recourse to, to depend on"
段,dan,"step, stair, grade"
単位,tani,"credit (for a course in school); unit, denomination"
単語,tango,word; vocabulary
男子,danshi,young man
単純,tanjun,simplicity
誕生,tanjou,birth
ダンス,dansu,dance
団体,dantai,"organization, association"
担当,tantou,(in) charge
単なる,tannaru,"mere, simple, sheer"
単に,tanni,"simply, merely"
地,chi,earth
地位,chii,"(social) position, status"
地域,chiiki,"area, region"
チーズ,chiizu,cheese
チーム,chiimu,team
知恵,chie,"wisdom, wit, intelligence"
地下,chika,"basement, underground"
違い,chigai,"difference, discrepancy"
違いない,chigainai,"(phrase) sure, no mistaking it, for certain"
近頃,chikagoro,"lately, recently, nowadays"
地球,chikyuu,the earth
地区,chiku,"district, section"
遅刻,chikoku,"lateness, late coming"
知事,chiji,prefectural governor
知識,chishiki,"knowledge, information"
父親,chichioya,father
知能,chinou,"intelligence, brains"
地平線,chiheisen,horizon
地方,chihou,"area, locality, region"
茶,cha,tea
チャンス,chansu,"chance, opportunity"
ちゃんと,chanto,"perfectly, properly, exactly"
中,chuu,"inside, middle, among"
注,chuu,"annotation, explanatory note"
中央,chuuou,"central, center, middle"
中学,chuugaku,"middle school, junior high school"
中古,chuuko,"used, second-hand"
中止,chuushi,"suspension, stoppage, discontinuance"
駐車,chuusha,"parking (e.g., car)"
昼食,chuushoku,lunch (same as 昼ご飯 (ひるごはん))
中心,chuushin,"center, core"
注目,chuumoku,"notice, attention, observation"
注文,chuumon,"order, request"
長期,chouki,long time period
調査,chousa,survey; investigation
調子,choushi,"condition, state, tune, tone"
頂上,choujou,"top, summit, peak"
ちょうだい,choudai,-- colloquial form of ください; typically used by children or women --
貯金,chokin,(bank) savings
直接,chokusetsu,"direct, immediate, firsthand"
著者,chosha,"author, writer"
散らす,chirasu,"to scatter, to disperse, to distribute"
散る,chiru,"to fall, to scatter (e.g., blossoms)"
遂に,tsuini,"finally, at last"
通過,tsuuka,"passage through, passing"
通貨,tsuuka,currency
通学,tsuugaku,commuting to school
通勤,tsuukin,commuting to work
通行,tsuukou,"passage, passing"
通じる,tsuujiru,"to run to, to lead to, to communicate"
通信,tsuushin,"correspondence, communications"
通訳,tsuuyaku,interpretation; interpreter
捕まる,tsukamaru,to be arrested; to be caught
掴む,tsukamu,"to seize, to catch, to grasp"
疲れ,tsukare,"tiredness, fatigue"
付き合い,tsukiai,socialization; friendship; association
付合う,tsukiau,"to associate with, to keep company with, to get on with"
次々,tsugitsugi,"in succession, one by one"
付く,tsuku,"to adjoin, to be attached, to adhere"
就く,tsuku,"to settle in (place), to take (seat position), to study (under teacher)"
突く,tsuku,"to thrust, to strike; to poke"
次ぐ,tsugu,"to rank next to, to come after"
注ぐ,tsugu,to pour (into)
付ける,tsukeru,"to attach, to join, to add"
着ける,tsukeru,"to put on, to wear; to draw up"
伝わる,tsutawaru,"to be handed down, to be transmitted"
土,tsuchi,"earth, soil"
続き,tsuzuki,"sequel, continuation"
包み,tsutsumi,"bundle, package"
勤め,tsutome,"work, employment"
務め,tsutome,duty
繋がる,tsunagaru,"to be connected to, to be related to"
繋ぐ,tsunagu,"to tie, to fasten, to connect"
繋げる,tsunageru,to connect
常に,tsuneni,always (same as いつも) (written expression)
翼,tsubasa,wings
つまり,tsumari,namely; in other words; in short
罪,tsumi,"crime, fault, indiscretion"
積む,tsumu,"to pile up, to stack"
詰める,tsumeru,"to pack, to shorten, to work out (details)"
積もる,tsumoru,to pile up
梅雨,tsuyu,rainy season
辛い,tsurai,"painful, heart-breaking"
釣,tsuri,fishing
連れ,tsure,"companion, company"
出,de,"outflow, coming (going) out, graduate (of)"
出会い,deai,"meeting, rendezvous, encounter"
出合い,deai,an encounter
出会う,deau,"to meet by chance, to come across, to happen to encounter"
提案,teian,"proposal, proposition, suggestion"
定期,teiki,fixed term
抵抗,teikou,"resistance, opposition"
提出,teishutsu,"presentation, submission, filing"
停電,teiden,failure of electricity
程度,teido,"degree, amount, level"
停留所,teiryuujo,bus or tram stop
デート,deeto,date (in the sense of 'social engagement' only)
敵,teki,"enemy, rival"
出来事,dekigoto,"incident happening, event"
適する,tekisuru,"to fit, to suit"
適切,tekisetsu,"appropriate, adequate, relevance"
適度,tekido,moderate
適用,tekiyou,applying
できれば,dekireba,if possible...
手品,tejina,"conjuring trick, magic"
ですから,desukara,therefore
鉄,tetsu,iron
哲学,tetsugaku,philosophy
手伝い,tetsudai,"help, helper, assistant"
徹底,tettei,"thoroughness, completeness"
鉄道,tetsudou,railway; railroad
徹夜,tetsuya,"staying up all night, sleepless night"
手間,tema,"time, labor"
デモ,demo,"demo, demonstration"
典型,tenkei,"type, pattern, archetypal"
天候,tenkou,weather
電子,denshi,electron; electronic
テント,tento,tent
伝統,dentou,"tradition, convention"
天然,tennen,"nature, spontaneity"
問い,toi,"question, query"
党,tou,party (political)
塔,tou,"tower, pagoda"
答案,touan,"examination paper, examination script"
同一,douitsu,"identity, sameness, similarity"
銅貨,douka,copper coin
当時,touji,"at that time, in those days (same as そのころ)"
動詞,doushi,verb
同時,douji,"simultaneous(ly), same time"
どうしても,doushitemo,"at any cost, no matter what, no matter how hard one tries"
どうぞよろしく,douzoyoroshiku,pleased to meet you
到着,touchaku,arrival
道徳,doutoku,morals
投票,touhyou,"voting, poll"
東洋,touyou,Orient
同様,douyou,"identical, same (kind), like"
