character,romaji,meaning
塔,tou,"pagoda, tower, steeple"
沸,futsu,"seethe, boil, ferment, uproar, breed"
灰,kai,"ashes, puckery juice, cremate"
菓,ka,"candy, cakes, fruit"
帽,bou/mou,"cap, headgear"
枯,ko,"wither, die, dry up, be seasoned"
涼,ryou/makoto,"refreshing, nice and cool, すず.やか うす.い ひや.す"
舟,shuu,"boat, ship"
貝,bai,shellfish
符,fu,"token, sign, mark, tally, charm"
憎,zou,"hate, detest, にく.らしい にく.しみ"
皿,bei,"dish, a helping, plate"
肯,kou,"agreement, consent, comply with"
燥,sou,"parch, dry up"
畜,chiku,"livestock, domestic fowl and, animals"
挟,kyou/shou,"pinch, between, わきばさ.む さしはさ.む"
曇,don/kumo.,"cloudy weather, cloud up"
滴,teki,"drip, drop"
伺,shi,"pay respects, visit, ask, inquire, question, implore"
率,ritsu,"ratio, rate"
責,seki,responsibility
範,han,"scope, model"
模,mo,"imitation, pattern"
精,sei,"refined, spirit"
密,mitsu,"dense, secret"
座,za,"seat, sit"
援,en,"aid, support"
争,sou/araso,conflict
診,shin,diagnose
資,shi,"resource, capital"
源,gen/minamoto,"source, origin"
穏,on/oda,calm
緊,kin,"tense, urgent"
縮,shuku/chiji,shrink
拡,kaku,expand
訳,yaku/wake,"translate, reason"
盤,ban,board
権,ken,"right, authority"
益,eki/masu,benefit
衛,ei,defend
警,kei,guard
裁,sai/tachi,"judge, cut"
判,han,judge
庶,sho,masses
企,ki/kuda,plan
幹,kan,main trunk
即,soku,immediate
環,kan,"ring, environment"
促,soku/unaga,prompt
障,shou/sawa,obstacle
危,ki/aya,danger
刑,kei,punishment
沿,en/soi,along
違,i/chiga,differ
択,taku,choose
評,hyou,evaluate
演,en/engi,perform
需,ju,"need, demand"
操,sou/ayatsu,operate
獲,kaku/e,acquire
撃,geki/utsu,strike
統,tou/sube,unify
